"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Carbohydrate metabolism","cfa00520","Amino sugar and nucleotide sugar metabolism","36/7472","40/9973",0.9,1.20124464668094,2.20428038011115,0.0154701553427812,0.0213319939926159,0.00387376929998257,"479116/478100/611942/478043/474751/474653/479545/488664/480325/492060/487633/608751/489715/479876/608049/474981/479107/474615/481607/474624/479234/403694/474486/487548/479904/100856448/100855555/489019/489096/478369/490013/612532/606974/100533995/481318/606490",36
"Human Diseases","Neurodegenerative disease","cfa05014","Amyotrophic lateral sclerosis","329/7472","414/9973",0.794685990338164,1.06068032409563,2.17968909850042,0.0155311886086589,0.0213319939926159,0.00387376929998257,"403580/608721/403486/478918/478370/478765/486347/475260/480610/608244/480337/612559/100684187/475739/100683675/478232/478234/477876/478032/480045/478880/486111/479805/475094/100856220/477560/403416/476312/474830/476867/479220/475730/480513/100856719/478701/479619/475086/482473/481590/480537/474749/474483/478654/100684983/474895/476822/480356/475322/485942/480428/479780/403856/100683352/479887/610413/403669/478983/611791/477498/100856348/442940/100683530/475445/479326/477508/477618/475214/474909/480454/479458/106557476/403773/485950/484632/475774/476215/479815/474873/489179/476503/608530/475978/100855613/478702/607653/478421/476040/474503/100855591/478003/481746/100855975/403869/474681/609744/494009/494007/476735/477718/476722/477437/487813/475913/483106/611055/607268/478119/477334/481459/486535/489525/609027/476659/474750/474416/490564/608074/478634/489547/607948/487675/607397/474700/608719/479248/477274/490477/478732/610370/481569/480673/479246/612945/478830/480361/484031/102154194/479671/480726/480691/476144/100856381/487432/100855651/480704/484700/403687/489042/483715/491018/475934/483780/403523/403567/479360/479259/482620/102152026/477532/607466/488660/477798/476794/475896/480478/608092/479623/478410/479208/483618/475600/403634/403750/403774/403791/403822/403877/475258/404008/100683846/475980/480149/483632/480894/609990/478629/477467/475848/480338/612644/475428/478577/607943/100856334/478981/476756/476754/442961/442988/403955/490899/477064/477132/403922/474539/474470/611659/100855659/100686423/484448/480907/100688636/475921/491061/480741/480114/403618/100855986/100687033/403559/479263/483756/474567/488508/476470/475338/608455/476598/474505/485825/100684215/477201/608534/475023/482861/475923/474440/475348/480290/479335/478059/478009/478639/608729/612614/100686580/403474/486244/475756/484715/607407/474415/486270/100856405/482667/483634/610498/481145/606983/102156642/100855995/488452/476004/480465/610766/488328/404305/102153397/100856109/100192385/607023/609819/489812/478807/612316/100684996/491441/483763/100688445/490704/610636/487437/490371/478217/607751/486762/476686/489091/106558389/102152879/489480/490419/102156730/489951/100686500/490448/479804/492024/489168/489507/489981/610319/100856395/102151342/480204/490012/475870/612821/491307/475121/102154035/100687434/481587/491909/611680/474772/482346/607439/475506/484370/610829/484405/475040/100682956/483284/483302/100682783/487148/487158",329
"Genetic Information Processing","Folding, sorting and degradation","cfa03018","RNA degradation","70/7472","82/9973",0.853658536585366,1.13939194129629,2.19067126891072,0.0157517943953558,0.0215484547328467,0.00391307734453049,"477133/479068/479839/478019/608777/482086/481720/479597/479632/488559/474404/474697/487797/612751/479414/475587/492002/607346/487647/609922/482895/609536/477734/478233/482708/477300/478346/612778/612549/100856683/474446/475298/489162/479150/607950/476654/612329/487695/477117/610721/477238/477787/478131/612170/610449/478854/100684605/486024/609696/477100/487817/403849/488057/481463/484065/479469/489086/608606/489713/489751/481611/481616/484312/481376/483825/476093/607248/611350/485491/611686",70
"Cellular Processes","Cell growth and death","cfa04215","Apoptosis - multiple species","30/7472","33/9973",0.909090909090909,1.21337843099085,2.12210571894533,0.0199296476250647,0.0271551374014826,0.00493121916493528,"475718/474652/100683675/403416/477463/480513/612867/611694/442936/486896/480571/489433/477746/479464/487432/403523/403567/482620/478464/403634/475258/442989/475782/403618/488473/485969/490371/481744/491071/612153",30
"Genetic Information Processing","Replication and repair","cfa03440","Homologous recombination","39/7472","44/9973",0.886363636363636,1.18304397021608,2.10320560555889,0.0207217294299236,0.0281223470834677,0.00510685896560355,"475524/477576/100685609/477070/479450/476021/476676/475548/403437/475711/481449/482686/494006/476806/477729/489537/100855690/608719/611298/612642/474674/610190/403568/611315/490746/480573/474180/100684357/478459/487053/611847/100856421/491079/491122/480175/100687200/491143/610047/475368",39
"Metabolism","Glycan biosynthesis and metabolism","cfa00513","Various types of N-glycan biosynthesis","43/7472","49/9973",0.877551020408163,1.171281628283,2.07739061741458,0.0221297727366781,0.0299145544503712,0.00543231367365928,"476275/489300/478100/100682632/478178/474780/475608/477223/483141/486751/481196/448804/480312/481458/488878/487633/491674/481579/404012/491680/480238/476397/609002/488745/481021/476516/483398/100682872/476064/478653/488650/480131/491975/100688744/490017/480667/612241/102153780/474562/482527/610736/485628/475418",43
"Metabolism","Amino acid metabolism","cfa00250","Alanine, aspartate and glutamate metabolism","34/7472","38/9973",0.894736842105263,1.19421982418573,2.07326177155178,0.0227605218520074,0.0306460569818367,0.00556515039066903,"476775/486834/475240/478794/483789/474653/480693/479704/488506/403443/612955/612589/612692/611064/480098/100855679/609914/474624/478103/479856/488448/478540/486698/475591/100686499/483960/488246/611407/482436/482445/484371/100684847/487107/483009",34
"Genetic Information Processing","Replication and repair","cfa03450","Non-homologous end-joining","13/7472","13/9973",1,1.33471627408994,2.08723599701164,0.0233779025578502,0.0313538928422932,0.00569368937425454,"474485/474176/494006/476063/610570/474674/485544/487123/486815/488923/608341/478902/100685589",13
"Metabolism","Metabolism of other amino acids","cfa00430","Taurine and hypotaurine metabolism","19/7472","20/9973",0.95,1.26798046038544,2.07345132857606,0.0238001660772291,0.0315490573581874,0.00572913014506942,"489003/478794/480076/481634/475819/606867/474637/478994/403603/483960/486510/485847/486400/486401/490345/403604/481635/487107/485629",19
"Metabolism","Glycan biosynthesis and metabolism","cfa00531","Glycosaminoglycan degradation","19/7472","20/9973",0.95,1.26798046038544,2.07345132857606,0.0238001660772291,0.0315490573581874,0.00572913014506942,"474429/478100/482833/484760/487633/475211/609321/403707/403831/403873/610364/486831/608707/608602/608620/490965/492194/489661/475212",19
"Metabolism","Glycan biosynthesis and metabolism","cfa00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate","19/7472","20/9973",0.95,1.26798046038544,2.07345132857606,0.0238001660772291,0.0315490573581874,0.00572913014506942,"664717/486928/476271/481492/494008/493990/476238/481445/483785/486786/608435/488704/100855759/491852/609635/481299/484618/482831/483944",19
"Human Diseases","Endocrine and metabolic disease","cfa04950","Maturity onset diabetes of the young","24/7472","26/9973",0.923076923076923,1.23204579146763,2.04770330790427,0.0251978621727127,0.0332728527531573,0.00604216162645824,"485742/485884/610402/493994/483665/490425/483441/608175/487005/487838/486303/490252/403909/489022/488431/484096/488165/489869/487558/482268/606490/484434/482821/485744",24
"Human Diseases","Neurodegenerative disease","cfa05010","Alzheimer disease","347/7472","440/9973",0.788636363636364,1.05260578888456,1.95073286191219,0.0275032855520821,0.0361773986877387,0.00656961071891839,"403755/608721/478478/403486/478918/478370/478765/486347/474652/480610/608244/612559/475739/100683675/478232/403407/403408/477876/442859/478032/475662/485773/489390/449021/478880/479805/475094/477160/479139/474830/476867/479220/480513/478701/442964/100856339/480537/474483/100686627/478654/478850/100684983/491857/479797/475322/480428/479780/479887/610413/403669/478983/606963/611791/477498/100856348/490244/478494/100683530/403516/485004/477508/483745/100306933/475214/611694/492093/474909/478347/403872/476043/480118/479458/106557476/485950/477120/474844/486628/474598/476215/479815/476503/608530/475978/100855613/476034/478702/486756/609956/479331/478421/476040/474503/477768/100855591/484990/481746/100855975/488478/403626/474681/609744/476438/494009/494007/403871/476735/610502/485548/477718/476722/477437/481124/486896/610146/486535/489525/609027/476659/486124/474416/478634/486469/476833/484648/477746/481736/483665/608719/490099/479248/488638/478575/490477/100855877/480673/484721/480361/102154194/477085/479671/478418/476144/487432/100855651/484700/489042/611939/483715/491018/475934/475537/403567/477989/482620/477532/478464/607466/475481/488660/477798/476794/477575/475896/480478/479623/478410/480416/403168/442942/403610/403634/403974/403985/403735/403782/403822/403827/475258/403928/100683846/475980/480149/483632/491154/477032/480894/480830/609990/478629/477467/475848/480338/612644/475428/478577/607943/100856334/478981/476756/480930/476754/487235/490899/476479/477064/488696/487073/403922/491825/100855659/100686423/480488/484448/100688636/475981/491061/480741/100855986/100687033/475630/483756/474567/476470/475338/608455/479255/403878/485825/482839/607180/485146/478321/478351/480290/479335/490382/478108/478009/478639/611397/102153034/612614/100686580/486232/477441/477185/481108/475756/607407/486543/486093/484724/100856405/486560/100856190/483634/477796/486841/102156642/486148/100855995/478502/476004/490903/488084/480465/100855839/610766/404305/488473/478650/102153397/100192385/489809/483729/477692/478807/490919/609107/100684996/481206/483220/491437/490937/483763/612367/487472/488527/488528/490704/610636/483776/609600/490371/478217/480915/489464/486762/476686/102152879/487589/100855884/100686500/482208/100855713/482209/480159/492059/100856395/102151342/490878/480204/490012/475870/607269/100855811/612127/485084/474510/489644/611795/610026/475121/102154035/482096/100687434/482294/481849/474584/607439/612141/612328/475526/483832/484405/475040/485144/485149/100682956/483302/100682783/487146/487148/485183/482564/607210/476548",347
"Organismal Systems","Immune system","cfa04622","RIG-I-like receptor signaling pathway","58/7472","68/9973",0.852941176470588,1.13843446907671,1.97981302231692,0.0280479551619499,0.036752492970831,0.00667404458380741,"474652/474636/100855667/442859/477260/403856/480291/611694/483800/489370/442934/478432/476412/477746/478950/607803/480673/478061/485632/611262/480886/480911/478464/608092/610868/403850/403977/403922/484963/482839/100855560/488371/485789/100688110/102152063/481145/477796/483131/611649/488473/488472/607023/483729/491043/100855668/403976/491103/490498/490867/612821/481558/100686162/611406/100855436/102156745/483307/484519/606815",58
"Metabolism","Global and overview maps","cfa01250","Biosynthesis of nucleotide sugars","37/7472","42/9973",0.880952380952381,1.17582147955542,1.97357122881441,0.0296470369888701,0.0386995673671511,0.00702762226734968,"479116/485521/611942/477673/474751/475116/474653/479545/488664/488248/480325/481624/492060/608751/489715/488189/474981/479107/474615/481607/474624/479234/403694/474486/487548/100856448/481189/100855555/489019/489096/478369/490013/606974/100533995/481318/606490/608182",37
"Organismal Systems","Digestive system","cfa04980","Cobalamin transport and metabolism","18/7472","19/9973",0.947368421052632,1.26446804913783,1.99436165063587,0.0304000155938554,0.0395315792133025,0.00717871090669389,"478623/486355/490781/449477/486310/474930/612538/485384/476145/475375/100856550/489752/100855567/482514/482635/479190/481754/492246",18
"Genetic Information Processing","Chromosome","cfa03082","ATP-dependent chromatin remodeling","99/7472","120/9973",0.825,1.1011409261242,1.92657547879057,0.0308431757667352,0.0399559322432705,0.00725577101370564,"403580/474443/478762/475037/481107/481001/486227/481514/477452/478958/484047/607681/477227/611171/609435/483975/478262/479489/476710/612119/478493/475501/610458/476593/479719/479747/480287/475299/477714/487309/476512/612550/474904/100688573/485080/478149/475541/477616/481116/476418/481046/476640/480854/489808/475385/480477/475451/480171/476797/607274/475035/479477/479773/608250/487352/479729/477738/610223/489944/489024/612425/475923/478637/486407/475439/485958/486256/486548/483105/478130/489280/611231/488304/483168/100855593/100855609/480467/475843/486669/483728/488489/483743/484806/608417/476057/479774/611798/474692/490453/490484/480450/612921/476335/611475/475330/477970/488251/476143/484535",99
"Metabolism","Metabolism of cofactors and vitamins","cfa00130","Ubiquinone and other terpenoid-quinone biosynthesis","12/7472","12/9973",1,1.33471627408994,2.00525081786688,0.0312154540722179,0.0401341552357088,0.00728813529980553,"479775/606915/479665/609040/610935/610778/475769/475004/478457/490778/479828/611501",12
"Genetic Information Processing","Information processing in viruses","cfa03265","Virion - Ebolavirus, Lyssavirus and Morbillivirus","12/7472","12/9973",1,1.33471627408994,2.00525081786688,0.0312154540722179,0.0401341552357088,0.00728813529980553,"479435/485000/403698/609365/403757/487705/403642/609931/100856270/102156626/489461/491071",12
